wall_type,wall_ext_rigid_in,roof_type,roof_deck_rigid_in,window_rsi,window_shgc,slab_rsi,furnace_efficiency_pct,eui_kwh_m2_yr,tedi_kwh_m2_yr,peak_heating_load_w,score
WA2,5.79,RA2,5.01,0.835,0.388,2.918,96.5,51.2759649526582,30.81173161221017,5349.137852405495,7.860446992180097e-06
WA2,5.8,RA2,4.83,0.722,0.232,2.837,92.9,51.43949875208175,30.86778214571405,5352.341845574151,0.008942263901744182
WA2,5.81,RA2,4.97,1.123,0.246,2.264,96.2,51.42705376071203,31.098027401811922,5363.301893807611,0.012362950165921786
WA2,5.61,RA2,5.54,1.001,0.398,2.523,95.3,51.47067422860136,31.009738668120136,5362.485067183347,0.014134336061751305
WA2,5.96,RA1,5.3,1.102,0.558,2.851,93.0,51.49462965419647,30.952516975815673,5359.491921086107,0.01417583779955146
WA2,5.7,RA2,4.2,0.503,0.379,2.968,96.6,51.39759543913548,30.918962634806732,5372.799558463442,0.01444090884824633
WA2,5.58,RA2,5.85,0.849,0.578,2.704,93.3,51.47165354165244,30.976657032862608,5371.838966262746,0.01760432760376572
WA2,5.32,RA2,5.52,1.357,0.55,2.623,96.3,51.35859189965796,31.05658664990631,5386.885260386786,0.01774503982877975
WA2,5.74,RA2,5.12,0.852,0.494,2.443,95.9,51.47766922839848,31.052571476861857,5372.554275697696,0.018151650046063374
WA2,5.79,RA2,5.85,1.303,0.545,2.5,92.7,51.5417638699362,30.98191755653127,5366.94985851704,0.019142544693362747
WA2,5.97,RA2,5.51,0.591,0.475,2.305,93.2,51.60399971882423,31.19575869135501,5359.649761795509,0.019424600360495176
WA2,5.7,RA1,5.62,0.85,0.592,2.636,95.8,51.4537224826989,31.116603160188497,5380.409332398725,0.01989001108052161
WA2,5.94,RA2,4.52,1.086,0.238,2.789,89.7,51.65085990112703,30.85817509025691,5355.165279468838,0.020007396098391465
WA2,5.76,RA2,5.98,1.317,0.248,2.155,93.7,51.56592705894918,31.12594363215764,5366.206284492342,0.02001724688873165
WA2,5.97,RA1,4.88,0.536,0.642,2.753,92.2,51.58826676883777,31.013900116165487,5369.121956042086,0.022144679430210507
WA2,5.86,RA1,4.53,1.177,0.472,2.731,94.4,51.53217687193592,31.105211374807897,5377.418303365729,0.022518952916118044
WA2,5.64,RA2,5.74,1.282,0.481,2.32,94.5,51.56633967944678,31.23417167493441,5374.166256435447,0.022950166799463483
WA2,5.62,RA2,5.34,1.014,0.236,2.451,93.1,51.635596174501195,31.06570876226239,5366.482738495445,0.02342510944360631
WA2,5.97,RA1,4.33,0.618,0.278,2.849,93.7,51.56210886543546,30.98313831849546,5377.041407254537,0.023801661338618347
WA2,5.32,RA2,5.72,1.166,0.401,2.624,93.3,51.53668399834609,31.071556766192103,5381.316698015625,0.024159678723762477
